Code région;Nom de la région;Code département;Nom de la commune;Population totale
84;Auvergne-Rhône-Alpes;1;L' Abergement-Clémenciat;785
84;Auvergne-Rhône-Alpes;1;L' Abergement-de-Varey;244
84;Auvergne-Rhône-Alpes;1;Ambérieu-en-Bugey;14 518
84;Auvergne-Rhône-Alpes;1;Ambérieux-en-Dombes;1 705
84;Auvergne-Rhône-Alpes;1;Ambléon;116
84;Auvergne-Rhône-Alpes;1;Ambronay;2 788
84;Auvergne-Rhône-Alpes;1;Ambutrix;763
84;Auvergne-Rhône-Alpes;1;Andert-et-Condon;344
84;Auvergne-Rhône-Alpes;1;Anglefort;1 142
84;Auvergne-Rhône-Alpes;1;Apremont;394
84;Auvergne-Rhône-Alpes;1;Aranc;330
84;Auvergne-Rhône-Alpes;1;Arandas;151
84;Auvergne-Rhône-Alpes;1;Arbent;3 470
84;Auvergne-Rhône-Alpes;1;Arbigny;466
84;Auvergne-Rhône-Alpes;1;Arboys en Bugey;656
84;Auvergne-Rhône-Alpes;1;Argis;452
84;Auvergne-Rhône-Alpes;1;Armix;26
84;Auvergne-Rhône-Alpes;1;Ars-sur-Formans;1 418
84;Auvergne-Rhône-Alpes;1;Artemare;1 248
84;Auvergne-Rhône-Alpes;1;Asnières-sur-Saône;66
84;Auvergne-Rhône-Alpes;1;Attignat;3 336
84;Auvergne-Rhône-Alpes;1;Bâgé-Dommartin;4 191
84;Auvergne-Rhône-Alpes;1;Bâgé-le-Châtel;971
84;Auvergne-Rhône-Alpes;1;Balan;2 920
84;Auvergne-Rhône-Alpes;1;Baneins;606
84;Auvergne-Rhône-Alpes;1;Béard-Géovreissiat;1 066
84;Auvergne-Rhône-Alpes;1;Beaupont;694
84;Auvergne-Rhône-Alpes;1;Beauregard;908
84;Auvergne-Rhône-Alpes;1;Béligneux;3 345
84;Auvergne-Rhône-Alpes;1;Bellegarde-sur-Valserine;11 965
84;Auvergne-Rhône-Alpes;1;Belley;9 542
84;Auvergne-Rhône-Alpes;1;Belleydoux;326
84;Auvergne-Rhône-Alpes;1;Bellignat;3 852
84;Auvergne-Rhône-Alpes;1;Belmont-Luthézieu;606
84;Auvergne-Rhône-Alpes;1;Bénonces;298
84;Auvergne-Rhône-Alpes;1;Bény;783
84;Auvergne-Rhône-Alpes;1;Béon;472
84;Auvergne-Rhône-Alpes;1;Béréziat;501
84;Auvergne-Rhône-Alpes;1;Bettant;771
84;Auvergne-Rhône-Alpes;1;Bey;290
84;Auvergne-Rhône-Alpes;1;Beynost;4 674
84;Auvergne-Rhône-Alpes;1;Billiat;626
84;Auvergne-Rhône-Alpes;1;Birieux;289
84;Auvergne-Rhône-Alpes;1;Biziat;866
84;Auvergne-Rhône-Alpes;1;Blyes;1 017
84;Auvergne-Rhône-Alpes;1;Bohas-Meyriat-Rignat;915
84;Auvergne-Rhône-Alpes;1;La Boisse;3 074
84;Auvergne-Rhône-Alpes;1;Boissey;345
84;Auvergne-Rhône-Alpes;1;Bolozon;90
